ICPOES_ID,Sample_ID,Lab.Field.Group,Location,Group,Easting,Northing,E.approx,N.approx,EC,EC_units,pH,PO4.P,SO4.S,Sample,Al,As,B,Ba,Ca,Ce,Co,Cr,Cu,Fe,K,La,Li,Mg,Mn,Mo,Na,Ni,P,Pb,Rb,S,Se,Si,Sr,Ti,V,Y,Zn
ENVTXX61-OES-2024_21,2024-W11.04,ENVT3361-Group-09,Chapman uppermost,9,400504,6468309,400504,6468309,1331,uS,7.38,1.52,52.32,W11.04,0.136,NA,0.078,0.1,47.9,0.001,0.001,0.001,NA,1.038,12.9,0.002,0.002,11.1,0.213,NA,185.4,0.001,1.796,NA,0.021,4.39,0.005,8.33,0.253,0.001,0.001,0,0.003
ENVTXX61-OES-2024_22,2024-W11.05,ENVT3361-Group-09,Chapman uppermost,9,400504,6468309,400504,6468309,1331,uS,7.38,1.68,26.48,W11.05,0.129,NA,0.078,0.1,48.6,0.001,NA,0.002,NA,1.096,12.8,0,0,11,0.215,NA,188.9,0.001,1.804,0.006,0.022,4.45,0.007,8.37,0.22,0.001,0.001,0,NA
ENVTXX61-OES-2024_23,2024-W16.01,ENVT3361-Group-10,Chapman lower mid,10,400321,6468234,400321,6468234,1643,uS,7.56,2.54,158.4,W16.01,0.154,NA,0.893,0.107,174.5,NA,0.008,0.004,NA,0.627,124.7,0.004,0.037,307,0.64,0,3373.2,0.003,2.136,0.003,0.165,205.7,0.015,9.5,2.447,NA,0.004,NA,NA
ENVTXX61-OES-2024_24,2024-W16.02,ENVT3361-Group-10,Chapman lower mid,10,NA,NA,400322,6468235,NA,,NA,2.2,179.8,W16.02,0.164,NA,0.895,0.108,173.8,NA,0.006,0.003,NA,0.63,127.4,0.003,0.038,307.5,0.651,0,3427,0.003,2.135,0.011,0.164,206.5,0.014,9.69,2.449,NA,0.002,NA,NA
ENVTXX61-OES-2024_25,2024-W16.03,ENVT3361-Group-10,Chapman lower mid,10,NA,NA,400323,6468236,NA,,NA,2.38,142.9,W16.03,0.166,NA,0.878,0.107,174.6,NA,0.006,0.002,NA,0.51,124.8,0.004,0.038,300.9,0.678,0,3319.6,0.003,1.923,0.013,0.16,206.3,0.006,9.43,2.38,NA,0.003,NA,NA
ENVTXX61-OES-2024_26,2024-W16.04,ENVT3361-Group-10,Chapman lower mid,10,NA,NA,400324,6468237,NA,,NA,2.23,227.1,W16.04,0.167,NA,0.898,0.108,174,NA,0.004,0.005,NA,0.609,126.5,0.004,0.038,308.6,0.634,0,3341.2,0.003,2.125,0.005,0.164,206.2,0.011,9.44,2.462,NA,0.005,NA,NA
ENVTXX61-OES-2024_27,2024-W16.05,ENVT3361-Group-10,Chapman lower mid,10,NA,NA,400325,6468238,NA,,NA,2.41,21.9,W16.05,0.162,NA,0.894,0.108,175.8,NA,0.006,0.003,NA,0.662,126,0.003,0.038,308.4,0.647,0,3407.2,0.002,2.158,0,0.164,205.9,0.012,9.66,2.452,0.002,0.004,NA,NA
ENVTXX61-OES-2024_52,2024-W01.01,ENVT3361-Group-11,Kitchener N,11,399918,6468163,399918,6468163,779,uS,7.5,0.161,61.39,W01.01,0.322,NA,0.201,0.02,25.3,NA,0.005,0.002,0.006,0.813,17.3,0.001,0.001,5.9,0.074,0.001,117.8,0.004,0.169,0.009,0.017,20.6,0.002,3.5,0.103,0.002,NA,0,0.069
ENVTXX61-OES-2024_53,2024-W01.02,ENVT3361-Group-11,Kitchener N,11,399919,6468158,399919,6468158,819,uS,7.29,0.128,60.1,W01.02,0.291,NA,0.193,0.022,24.9,NA,0.009,0.001,0.006,0.715,16.1,0.001,0.002,5.7,0.101,0.001,128,0.003,0.127,0.004,0.016,21.8,0.007,3.67,0.114,0.001,0.001,0,0.049
ENVTXX61-OES-2024_54,2024-W01.03,ENVT3361-Group-11,Kitchener N,11,399919,6468152,399919,6468152,180,uS,7.47,0.103,60.61,W01.03,0.272,0,0.186,0.02,24.3,NA,0.004,0.001,0.003,0.554,14.3,0.001,0.003,5.7,0.045,0.001,130.1,0.003,0.14,0.005,0.015,21.6,0.004,3.59,0.123,0.001,0.002,NA,0.04
ENVTXX61-OES-2024_55,2024-W01.04,ENVT3361-Group-11,Kitchener N,11,399923,6468146,399923,6468146,130,uS,7.62,0.088,87.08,W01.04,0.261,0,0.188,0.018,22.8,NA,0.002,0.001,0.001,0.409,13.7,0,0.002,5.7,0.031,0.001,139.9,0.004,0.109,0.007,0.015,23,0.005,3.73,0.103,0.001,0.002,NA,0.027
ENVTXX61-OES-2024_56,2024-W01.05,ENVT3361-Group-11,Kitchener N,11,399934,6468130,399934,6468130,2369,uS,4.34,0.005,20.02,W01.05,17.813,NA,0.299,0.092,107.5,0.017,0.576,0.002,0.022,1.15,22.5,0.021,0.012,24.9,0.649,NA,314.1,0.063,0.059,0.014,0.03,202,0.009,7.73,0.691,NA,NA,0.006,34.836
ENVTXX61-OES-2024_28,2024-W10.01,ENVT3361-Group-12,NW Pond,12,400035,6468158,400035,6468158,7.72,mS,6.11,,NA,W10.01,0.048,0.035,3.377,0.11,534.2,NA,0.021,0.008,NA,122.353,459.3,0.014,0.339,937,1.54,NA,21307.4,0.01,0.116,0.019,0.747,1481.1,NA,15.73,18.26,NA,0.029,NA,0.699
ENVTXX61-OES-2024_29,2024-W10.02,ENVT3361-Group-12,NW Pond,12,NA,NA,400035,6468156,NA,,NA,,NA,W10.02,0.068,0.034,3.249,0.108,526,NA,0.02,0.007,NA,119.028,452.5,0.014,0.334,937.3,1.497,NA,21332.5,0.01,0.09,0.017,0.717,1429.6,NA,15.19,17.497,NA,0.029,NA,0.668
ENVTXX61-OES-2024_30,2024-W10.03,ENVT3361-Group-12,NW Pond,12,NA,NA,400033,6468158,NA,,NA,,NA,W10.03,0.065,0.035,3.268,0.11,523.2,NA,0.018,0.008,NA,119.213,461.8,0.014,0.339,937.6,1.506,NA,21357.7,0.01,0.104,0.01,0.734,1431.8,NA,15.16,17.488,NA,0.03,NA,0.647
ENVTXX61-OES-2024_31,2024-W10.04,ENVT3361-Group-12,NW Pond,12,NA,NA,400035,6468160,NA,,NA,,NA,W10.04,0.079,0.034,3.233,0.109,521.8,NA,0.015,0.007,NA,117.725,456.6,0.013,0.339,937.9,1.491,NA,21382.8,0.008,0.099,0.016,0.735,1417,NA,14.95,17.482,NA,0.027,NA,0.593
ENVTXX61-OES-2024_32,2024-W10.05,ENVT3361-Group-12,NW Pond,12,NA,NA,400037,6468158,NA,,NA,,NA,W10.05,0.156,0.012,2.575,0.138,547.4,NA,0.021,0.007,NA,16.475,302.9,0.012,0.153,938.2,1.485,NA,10623.3,0.008,0.141,0.013,0.409,1134.7,NA,7.2,12.843,NA,0.016,0,1.779
ENVTXX61-OES-2024_61,2024-W18.01,ENVT4461-Group-A,Chapman lower mid S2,A,400196,6468104,400196,6468104,47.2,uS,7.43,,NA,W18.01,0.067,0.011,2.413,0.136,353.2,NA,0,0.004,NA,1.253,314.4,0.006,0.156,1012.6,0.263,0.005,9402.5,0.002,0.128,0.006,0.332,683.6,0.005,3.47,6.766,NA,0.012,NA,NA
ENVTXX61-OES-2024_62,2024-W18.02,ENVT4461-Group-A,Chapman lower mid S2,A,400190,6468099,400190,6468099,46.6,uS,7.6,,NA,W18.02,0.036,0.007,2.419,0.073,357,NA,0.006,0.006,NA,0.08,322.8,0.006,0.16,1046,0.163,0.003,9744,0.002,0.065,0.01,0.328,721,0.004,3.04,6.758,NA,0.01,NA,NA
ENVTXX61-OES-2024_82,2024-W17.01,ENVT4461-Group-B,Chapman lower midS,B,400256,6468164,400256,6468164,4.19,mS,8.18,0.406,NA,W17.01,0.086,0.002,1.817,0.083,293.2,NA,0.003,0.005,0.003,0.091,233.3,0.005,0.106,740.5,0.094,0.001,6966.8,0.002,0.333,0.006,0.267,495.1,0.002,5.23,5.155,NA,0.01,NA,0
ENVTXX61-OES-2024_83,2024-W17.02,ENVT4461-Group-B,Chapman lower midS,B,400267,6468165,400267,6468165,5.3,mS,8.03,0.258,NA,W17.02,0.067,0.003,1.787,0.081,293.7,NA,NA,0.005,NA,0.066,233.8,0.005,0.104,742.8,0.09,0.001,6977.5,0.002,0.331,0.01,0.261,498.9,0.007,5.06,5.041,NA,0.01,NA,NA
ENVTXX61-OES-2024_84,2024-W17.03,ENVT4461-Group-B,Chapman lower midS,B,NA,NA,400256,6468164,NA,,NA,,NA,W17.03,0.076,0.01,1.791,0.082,288.5,NA,0.006,0.006,0.003,0.068,234,0.005,0.103,738.1,0.092,0.002,6866.1,0.002,0.333,0.008,0.265,489.2,0.006,5.14,5.072,NA,0.01,NA,NA
ENVTXX61-OES-2024_85,2024-W17.04,ENVT4461-Group-B,Chapman lower midS,B,NA,NA,400267,6468165,NA,,NA,,NA,W17.04,0.068,0.003,1.886,0.085,298.1,NA,0.005,0.004,NA,0.085,240.9,0.005,0.112,764.1,0.101,0.002,7014,0.002,0.223,0.011,0.275,501.7,0.01,4.82,5.355,NA,0.009,NA,NA
ENVTXX61-OES-2024_86,2024-W17.05,ENVT4461-Group-B,Chapman lower midS,B,NA,NA,400256,6468164,NA,,NA,,NA,W17.05,0.075,0.006,1.888,0.086,303.4,NA,0.003,0.005,NA,0.08,247.9,0.005,0.111,784.7,0.103,0.001,7225.4,0.002,0.217,0.013,0.27,515,0.009,4.91,5.384,NA,0.009,NA,NA
ENVTXX61-OES-2024_87,2024-W17.06,ENVT4461-Group-B,Chapman lower midS,B,NA,NA,400267,6468165,NA,,NA,,NA,W17.06,0.074,0.002,1.919,0.089,296.5,NA,0.004,0.005,NA,0.094,243.7,0.005,0.111,761.2,0.105,0.001,7097.5,0.002,0.224,0.014,0.276,508.4,0.005,4.99,5.475,0.002,0.01,NA,NA
ENVTXX61-OES-2024_57,2024-W08.01,ENVT4461-Group-C,Swan mid E,C,400119,6467933,400119,6467933,11.23,mS,7.76,,NA,W08.01,0.088,0.004,2.659,0.058,352.6,NA,NA,0.005,NA,0.025,339.4,0.007,0.179,1056.7,0.015,0.003,9942.6,0.002,0.051,0.009,0.349,734.9,0.006,2.61,7.215,0.001,0.013,NA,NA
ENVTXX61-OES-2024_58,2024-W08.02,ENVT4461-Group-C,Swan mid E,C,400123,6467931,400123,6467931,11.23,mS,7.76,,NA,W08.02,0.06,0.008,2.682,0.058,360.5,NA,0.002,0.005,NA,0.021,348.1,0.007,0.184,1080.9,0.012,0.003,10058.6,0.002,0.055,0.001,0.354,743.5,0.011,2.58,7.27,NA,0.012,NA,NA
ENVTXX61-OES-2024_69,2024-W07.01,ENVT4461-Group-D,Swan mid,D,400029,6467966,400029,6467966,4.48,mS,7.29,,NA,W07.01,0.039,0.003,2.642,0.059,355.8,NA,0.003,0.004,NA,0.015,346.1,0.006,0.183,1082,0.021,0.003,10092.5,0.002,0.054,0.01,0.342,741.8,NA,2.61,7.124,NA,0.011,NA,NA
ENVTXX61-OES-2024_70,2024-W07.02,ENVT4461-Group-D,Swan mid,D,400035,6467968,400035,6467968,5.1,mS,7,,NA,W07.02,0.021,0.006,2.67,0.057,352.8,NA,0.002,0.006,NA,0.019,343.9,0.006,0.187,1068.2,0.022,0.004,9980.4,0.002,0.071,0.01,0.342,733.7,0.009,2.58,7.213,NA,0.011,NA,NA
