Group,Sample,SampID,GSample,Drain,Zone,Type,DepthType,Easting,Northing,Longitude,Latitude,Depth_upper_cm,Depth_lower_cm,DepthMid,pH,EC,Microplastics_fragments,Microplastics_fibres,Microplastics_other,microbeads,MP_total,Al,As,Ba,Ca,Ce,Co,Cr,Cu,Fe,Gd,K,La,Li,Mg,Mn,Mo,Na,Nd,Ni,P,Pb,S,Sr,Th,V,Y,Zn,REE
ENVT3361.3,AF_sed_14,2021_3_2,3_2,NA,NE,Lake_Sed,Surface,400395,6468248,115.9464516,-31.9172885,NA,NA,NA,8.36,3.28,NA,2000,NA,NA,2000,14042,6.7,65,12125,21.5,6.6,79,132,38650,2.4,1322,12.8,5.5,4773,3330.7,1.8,4306,10.6,22,258,36.8,458,64.8,5.3,24.1,4.7,133.2,47.3
ENVT3361.3,AF_sed_15,2021_3_3,3_3,NA,NE,Lake_Sed,Surface,400407,6468248,115.9465785,-31.91728956,NA,NA,NA,7.35,2.59,NA,2998.5,NA,NA,2998.5,11527,3.8,22,961,14.6,4.6,30.4,105,28965,1.5,766,8.5,4.3,1010,1447.7,0.7,4066,6.1,14,228,34.7,619,16,4.9,16.5,2.5,109.3,30.7
ENVT3361.3,AF_sed_16,2021_3_4,3_4,NA,NE,Lake_Sed,Surface,400415,6468260,115.9466644,-31.91718201,NA,NA,NA,6.42,7.63,NA,499.75,NA,NA,499.75,32704,NA,97,1748,174.6,9,65.2,62,38327,10.9,3605,81.6,34.3,3838,105.8,1.2,12259,65.2,25,329,31.6,1457,79,23.2,79.3,41,124.5,332.3
ENVT3361.3,AF_sed_17,2021_3_5,3_5,NA,NE,Lake_Sed,Surface,400423,6468272,115.9467502,-31.91707447,NA,NA,NA,5.62,9.04,NA,1500.75,NA,NA,1500.75,32771,4.1,118,1575,216.2,6.8,58.2,36,39643,16.3,3869,78.7,33.8,3647,64.1,1.9,12594,94.1,21,438,28.7,2677,151.6,15.8,77.5,48,50.9,405.3
ENVT3361.4,AF_sed_18,2021_4_1,4_1,NA,NE,Lake_Sed,Surface,400431,6468284,115.946836,-31.91696693,NA,NA,NA,5.67,7.76,NA,3994.01,NA,NA,3994.01,34149,13.9,75,1821,248.3,7.6,47.7,204,57748,13.2,2595,121.7,32.5,3089,53.2,2.5,11047,76.3,19,1848,108.1,2135,63.8,16.5,61.8,60.2,191.2,459.5
ENVT3361.4,AF_sed_19,2021_4_2,4_2,NA,NE,Lake_Sed,Surface,400439,6468296,115.9469219,-31.91685938,NA,NA,NA,5.92,8.23,997.51,11970.07,NA,NA,12967.58,26072,20.1,78,2169,121.9,13.3,38,312,99194,9.6,2608,62.9,28.8,3355,72.2,4.1,13322,43.3,20,2231,120.9,2771,85.5,13.9,59.6,29.6,342.8,237.7
ENVT3361.4,AF_sed_20,2021_4_3,4_3,NA,NE,Lake_Sed,Surface,400447,6468308,115.9470077,-31.91675184,NA,NA,NA,5.85,6.32,1992.03,22908.37,NA,NA,24900.4,34004,6.2,62,2347,155.9,5.7,49,153,31586,10.3,2809,68.4,36.6,3772,39.3,2.9,14064,60.6,18,963,53.9,2463,70.3,12.8,63.8,38.9,113.1,295.2
ENVT3361.4,AF_sed_21,2021_4_4,4_4,NA,NE,Lake_Sed,Surface,400455,6468320,115.9470936,-31.91664429,NA,NA,NA,5.9,4.65,497.76,6968.64,NA,NA,7466.4,30146,13.6,59,3121,165.6,5.8,39.6,271,33438,10.8,2290,73.8,31,3707,37.9,3.9,14486,61.6,19,1935,101.5,3642,80.2,9.2,56.7,41.5,216,311.8
ENVT3361.4,AF_sed_22,2021_4_5,4_5,NA,SE,Lake_Sed,Surface,400190,6468090,115.9442673,-31.91869573,NA,NA,NA,5.86,6.7,1499.25,17991,NA,NA,19490.25,15304,8.9,123,1790,36.9,9.9,27.1,139,44050,3.7,1472,14.5,15.2,2479,59.3,6.8,8975,15.9,8,373,42.4,7988,41.9,10.2,48.3,7.8,341,71
ENVT3361.7,AF_sed_28,2021_7_1,7_1,NA,SM,Saltmarsh,Surface,400518,6468224,115.94775,-31.91751577,NA,NA,NA,5.69,2.82,NA,1501,NA,1501,3002,28382,4.7,75,1581,117.6,10.1,54.7,74,33856,7.6,2771,60.6,16.7,2915,128.2,2,5185,47.5,20,491,36,1372,63.1,15,67.5,26.4,50.1,233.3
ENVT3361.7,AF_sed_29,2021_7_2,7_2,NA,SM,Saltmarsh,Surface,400568,6468216,115.9482779,-31.91759232,NA,NA,NA,4.73,6.89,NA,9985,NA,2996,12981,31320,4.2,94,1361,108.8,5.1,54.7,64,36208,8.3,3843,50.7,22.9,3256,46.9,2.5,11586,48.1,17,485,26.2,3600,115.9,15.6,71.1,23.1,25,215.9
ENVT3361.7,AF_sed_30,2021_7_3,7_3,NA,SM,Saltmarsh,Surface,400267,6468153,115.9450881,-31.91813421,NA,NA,NA,6.16,8.83,NA,NA,NA,8008,8008,19353,26.1,31,3530,43.3,9.6,33.8,416,59732,4.3,1866,21.2,17.3,3862,160.7,3.4,10315,19.1,12,2515,690.1,2239,70,6.9,48.3,10.4,343.3,87.9
ENVT3361.7,AF_sed_31,2021_7_4,7_4,NA,SM,Saltmarsh,Surface,400302,6468190,115.9454621,-31.91780353,NA,NA,NA,6.29,4.78,NA,1997,NA,NA,1997,14765,21.6,34,1796,30.5,5,25.7,405,58647,3.3,1137,15.1,11,2001,78.8,4.2,5254,13.8,7,1557,284,1234,35.4,6.8,40.9,6.6,141.1,62.7
ENVT3361.7,AF_sed_32,2021_7_5,7_5,NA,SM,Saltmarsh,Surface,400371,6468173,115.9461901,-31.91796293,NA,NA,NA,6.1,9.31,NA,498,NA,NA,498,8491,0.6,13,828,43,5,21.8,11,11914,2.3,978,20.3,4.9,1707,76.3,0.9,9470,16.1,7,107,8.9,1117,13.7,10.1,30.9,6.6,12.6,81.7
ENVT3361.8,AF_sed_33,2021_8_1,8_1,NA,SM,Saltmarsh,Surface,400411,6468156,115.9466114,-31.91811978,NA,NA,NA,NA,NA,NA,3500,NA,500,4000,18714,3.2,50,584,60.3,7.3,46,19,26770,4.5,1314,26.6,7.7,1639,62.7,0.6,3479,24.5,12,85,16.1,338,13.1,15,66.8,12.4,13.2,115.9
ENVT3361.8,AF_sed_34,2021_8_2,8_2,NA,SM,Saltmarsh,Surface,400468,6468171,115.9472157,-31.91798947,NA,NA,NA,NA,NA,500,2000,NA,NA,2500,11846,1.9,25,650,50.1,7.7,30.3,15,18393,3.1,1077,21.6,7.1,999,85.4,0.8,3864,18.1,10,117,11.7,610,10.2,11.3,41.7,7.8,17.8,92.9
ENVT3361.8,AF_sed_35,2021_8_3,8_3,NA,SM,Saltmarsh,Surface,400546,6468165,115.94804,-31.91805043,NA,NA,NA,NA,NA,NA,2000,NA,1500,3500,33605,0.9,91,1508,153.3,15.5,65.1,59,37789,10.4,3496,70.8,25.9,3825,212.9,1.3,10544,62.7,25,389,33,1998,76.8,19.4,78.4,33.6,53.5,297.2
ENVT3361.8,AF_sed_36,2021_8_4,8_4,NA,SM,Saltmarsh,Surface,400577,6468196,115.9483711,-31.91777351,NA,NA,NA,NA,NA,500,2500,NA,1500,4500,34097,4.7,108,1536,136.2,8.8,61.3,52,35657,10.1,3167,63.2,24.2,3098,126,2.2,7235,59.5,22,539,35.6,1752,109.2,18.5,78.5,28.6,82.5,269
ENVT3361.9,AF_sed_39,2021_9_1,9_1,NA,SM,Saltmarsh,Surface,400375,6468123,115.9462272,-31.9184143,NA,NA,NA,5.78,5.01,500,3000,NA,NA,3500,21108,5.2,60,1244,81.3,11.9,49.3,47,29102,5.2,2397,41.1,15.7,2789,202.8,1.2,8164,31.9,17,294,21.8,843,29,17.9,62.3,16.3,59.7,159.5
ENVT3361.9,AF_sed_40,2021_9_2,9_2,NA,SM,Saltmarsh,Surface,400433,6468106,115.9468389,-31.91857273,NA,NA,NA,6.54,2.03,500,5500,NA,NA,6000,9425,5.9,17,14827,28.7,4.4,26.5,13,16403,2.2,796,13.7,5.6,1345,55.1,0.3,2640,12.4,6,95,9.3,281,47.5,8.4,38.8,5.3,13,57
ENVT3361.9,AF_sed_41,2021_9_3,9_3,NA,SM,Saltmarsh,Surface,400470,6468135,115.9472332,-31.91831438,NA,NA,NA,5.12,12.45,250,250,NA,750,1250,43250,1.8,107,1194,161.8,12,66.8,41,35880,12,4850,73.1,51,4127,119.6,1.9,15059,67.3,27,377,26.8,3493,178.3,20.8,81.9,39.3,47.3,314.2
ENVT3361.9,AF_sed_42,2021_9_4,9_4,NA,SM,Saltmarsh,Surface,400505,6468110,115.9476008,-31.91854296,NA,NA,NA,4.54,9.23,500,1000,NA,2500,4000,48186,3.6,77,845,103.6,8.8,60.9,28,35598,9,4177,42,49.6,2880,39.3,3.1,13224,48.6,27,250,21.3,2779,102.8,17.5,78.4,17.1,17.3,203.2
ENVT3361.9,AF_sed_43,2021_9_5,9_5,NA,SM,Saltmarsh,Surface,400249,6468097,115.944892,-31.91863777,NA,NA,NA,5,10.04,1500,1500,NA,3000,6000,37198,5.2,94,1200,200.1,7.6,54.1,32,40674,16.8,3725,64.6,35.2,3358,46.8,2.6,16453,95.7,23,399,25.5,3469,121.3,15,78.2,40.1,23.5,377.2
ENVT3361.10,AF_sed_44,2021_10_1,10_1,NA,SM,Saltmarsh,Surface,400298,6468083,115.9454088,-31.91876836,NA,NA,NA,5.71,10.4,250,9500,NA,NA,9750,39826,9.9,61,1957,106.7,10.1,71.7,262,42931,7.2,3239,52.4,31.3,4504,65.8,1.8,13247,42.1,24,1533,230.5,2981,50.9,21,80.7,23.4,258,208.4
