"","Easting","Northing"
"1a",400510,6468317
"2",400475,6468323
"3",400281,6468192
"4",400109,6468014
"5",400045,6467960
"6",399967,6468019
"7",399929,6468132
"8",399993,6468017
"9",400051,6468170
"10",400110,6468046
"11a",400415,6468275
"12",400411,6468323
"13",400317,6468227
"14",400237,6468149
"15",400167,6468082
"16",400050,6468253
"17",400306,6468243
