"Site","Easting","Northing"
1,400662,6468516
2,400475,6468323
3,400281,6468192
4,400109,6468014
5,400045,6467960
6,399967,6468019
7,399929,6468132
8,399993,6468017
9,400051,6468170
10,400110,6468046
11,400202,6468331
