"E","N"
389055.5,6460346
389051.7,6460346.3
389047.5,6460346.8
389043.1,6460347.9
389039.1,6460349.1
389034.8,6460349.6
389030.7,6460349.7
389016,6460349.7
389014.1,6460349.7
389011.5,6460349.9
389009.4,6460350.1
389006.8,6460350.6
389004.3,6460350.9
389001.5,6460351.2
388995.9,6460351.7
388991.1,6460352.1
388988.4,6460352.4
388986.3,6460352.8
388983.9,6460353.2
388981.7,6460353.8
388979.2,6460354.6
388976.2,6460355.3
388965.1,6460355
388962.9,6460354.8
388960,6460355
388957.3,6460355.7
388954.2,6460356.2
388951.7,6460356.4
388948.4,6460356.8
388945,6460356.8
388942.5,6460357
388940.1,6460357.3
388937.6,6460357.7
388935.1,6460358.1
388932.6,6460358.4
388930,6460359.1
388927.1,6460360.1
388924.6,6460360.7
388919.4,6460361.2
388914.2,6460361.7
388913.5,6460361.8
388910.1,6460362.2
388907.5,6460362.5
388904.2,6460362.6
388898.6,6460362.6
388898.6,6460362.6
388896,6460362.6
388893.1,6460362.7
388890.8,6460363
388887.8,6460363.8
388885.2,6460364.9
388882,6460366
388879.8,6460366.7
388876.9,6460367.7
388874.6,6460368.3
388871.9,6460368.7
388863.6,6460370.1
388860.1,6460370.1
388855.1,6460369.7
388852.9,6460369.3
388851.2,6460368.8
388849.8,6460368
388848.5,6460367
388847.6,6460366.1
388845.8,6460365.4
388843.7,6460365.1
388841.6,6460365.1
388839.2,6460365.6
388837.1,6460366.4
388835,6460367.4
388832.9,6460368
388831.1,6460368.7
388829,6460369.8
388828.2,6460370.2
388824.8,6460371.2
388817.7,6460371.9
388812.9,6460371.9
388811.8,6460371.8
388809.5,6460371.8
388806.7,6460371.9
388804.2,6460372.1
388801.5,6460372.5
388798.4,6460373.1
388795.3,6460373.5
388792.2,6460373.8
388789.8,6460374
388785.6,6460374.3
388782.2,6460374.9
388780.1,6460375.3
388776.3,6460376
388774.4,6460376.5
388762.4,6460377.8
388758.7,6460378.1
388756.1,6460378.4
388753.2,6460379
388751.2,6460379.3
388747.8,6460379.6
388745.7,6460379.9
388742,6460380.4
388739.7,6460380.4
388737.1,6460380.4
388732.7,6460380.4
388731.3,6460380.6
388730.1,6460380.9
388727.9,6460381.7
388725.9,6460382.5
388723.9,6460383.5
388721.8,6460384.3
388711.9,6460385.4
388710,6460385.7
388707.1,6460386.3
388704,6460386.8
388701.4,6460387.1
388694.2,6460387.6
388691.5,6460387.7
388690.2,6460387.9
388689.2,6460388
388686.6,6460388.3
388683.6,6460388.7
388681,6460388.9
388676,6460389.2
388673.2,6460389.4
388670.8,6460389.6
388661.5,6460390.8
388660.3,6460390.9
388657.6,6460391.4
388654.8,6460391.6
388652.6,6460391.6
388646.6,6460391.8
388644.3,6460392
388639.6,6460392.7
388632.4,6460393.6
388630.3,6460394
388625.9,6460395.2
388623.9,6460395.9
388621.6,6460396.4
388619.4,6460397.3
388615.8,6460398.5
388611.4,6460400.8
388607.4,6460402
388604.7,6460402.3
388602.3,6460402.5
388601,6460402.5
388598,6460402.6
388591.6,6460402.6
388589,6460402.5
388584.6,6460402.5
388582.1,6460402.5
388578.3,6460402.4
388576,6460402.3
388574.1,6460402
388572.8,6460401.5
388571.4,6460400.7
388570.4,6460399.7
388569.6,6460398.5
388569.3,6460397
388569,6460395.2
388568.9,6460394.4
388568.5,6460393.6
388568.2,6460392.9
388567.4,6460392
388566.1,6460391.3
388564.9,6460391
388563.4,6460390.5
388562.4,6460389.6
388561.9,6460388
388561.1,6460383.9
388560.7,6460383.3
388559.8,6460382.4
388558.9,6460381.6
